lid,lat,lon,rfc,minor,moderate,major,code,date_produced
EPRK1,38.435556,96.209167,ABRFC,0.051700,0.050100,0.050000,1,1/26/2023
EREK1,37.549444,95.264444,ABRFC,0.086900,0.055000,0.050000,1,1/26/2023
FCHC2,38.287780,104.601085,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
FHAC2,38.601665,104.670250,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
FLRK1,38.236100,96.876900,ABRFC,0.053200,0.050000,0.050000,1,1/26/2023
FLTA4,33.607300,93.813800,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
FNEC2,38.816382,104.822752,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
FRGO2,37.011111,100.491389,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
FRNK1,37.508333,95.833333,ABRFC,0.067500,0.050000,0.050000,1,1/26/2023
FRSO2,34.271485,95.912205,ABRFC,0.077200,0.063000,0.050000,1,1/26/2023
FWLC2,38.125937,103.944208,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
GCKK1,37.956200,100.877150,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
GLOO2,34.097500,94.901944,ABRFC,0.318000,0.132000,0.050000,1,1/26/2023
GOLN5,35.890833,105.163611,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
GRVA4,34.872500,93.656667,ABRFC,0.166500,0.050000,0.050000,1,1/26/2023
GSVT2,33.727883,97.160013,ABRFC,0.084800,0.068200,0.050000,1,1/26/2023
GTBK1,38.353056,98.764722,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
GTRO2,35.920602,97.425875,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
GUCO2,35.879972,97.429302,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
HAVK1,37.946142,97.775119,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
HCHK1,38.038056,97.933611,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
HEAO2,34.638127,99.103691,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
HRGA4,33.919444,94.387500,ABRFC,0.253800,0.184600,0.090100,1,1/26/2023
HRHO2,35.500341,97.193919,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
HSKO2,35.822222,95.639444,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
HTCK1,38.144167,98.007500,ABRFC,0.147400,0.079900,0.050000,1,1/26/2023
HTDK1,38.028531,97.540542,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
HUSA4,35.012222,92.723333,ABRFC,0.583500,0.050000,0.050000,2,1/26/2023
HVRO2,34.541474,97.247244,ABRFC,0.050000,0.050000,0.050000,1,1/26/2023
