lid,lat,lon,rfc,minor,moderate,major,code,date_produced
CVEL1,30.476389,90.089444,LMRFC,0.520000,0.060000,0.050000,2,1/24/2023
CYNL1,31.724600,91.544300,LMRFC,0.100000,0.060000,0.050000,1,1/24/2023
DARL1,30.888889,90.844444,LMRFC,0.050000,0.050000,0.050000,1,1/24/2023
DENL1,30.463889,90.990278,LMRFC,0.490000,0.050000,0.050000,1,1/24/2023
DIBM6,30.476111,88.893611,LMRFC,0.390000,0.050000,0.050000,1,1/24/2023
DLAM6,31.977770,89.897500,LMRFC,0.540000,0.100000,0.050000,2,1/24/2023
DNZM7,36.621944,90.847500,LMRFC,0.050000,0.050000,0.050000,1,1/24/2023
DONL1,30.102778,90.959167,LMRFC,0.367000,0.183000,0.033000,1,2/19/2014
DSCA4,34.976667,91.492500,LMRFC,0.380000,0.180000,0.060000,1,1/24/2023
DYET1,36.029722,89.386944,LMRFC,0.110000,0.050000,0.050000,1,1/24/2023
EMBT1,36.176389,82.457500,LMRFC,0.050000,0.050000,0.050000,1,1/24/2023
EMCM7,37.154170,91.358060,LMRFC,0.050000,0.050000,0.050000,1,1/24/2023
ENBM6,32.798889,89.335000,LMRFC,0.840000,0.050000,0.050000,2,1/24/2023
ENGG1,34.897500,85.463056,LMRFC,0.780000,0.070000,0.050000,2,1/24/2023
ENSM6,32.175800,88.819700,LMRFC,0.700000,0.350000,0.050000,2,1/24/2023
ETAM6,34.482500,89.224444,LMRFC,0.870000,0.160000,0.060000,2,1/24/2023
FELA4,33.032070,92.087640,LMRFC,0.950000,0.050000,0.050000,2,2/3/2016
FLCN7,35.428889,82.552778,LMRFC,0.140000,0.050000,0.050000,1,1/24/2023
FLSL1,30.615833,90.248611,LMRFC,0.340000,0.220000,0.090000,1,1/24/2023
FRNL1,30.842778,90.161944,LMRFC,0.590000,0.230000,0.050000,2,1/24/2023
FSKM7,36.790278,90.200833,LMRFC,0.130000,0.120000,0.090000,1,1/24/2023
FYTT1,35.134444,86.539722,LMRFC,0.470000,0.410000,0.050000,1,1/24/2023
GATV2,36.608611,82.568056,LMRFC,0.130000,0.050000,0.050000,1,1/24/2023
GDHM6,32.667220,89.646110,LMRFC,0.460000,0.050000,0.050000,1,1/24/2023
GEEM6,33.287110,91.153930,LMRFC,0.200000,0.130000,0.050000,1,1/24/2023
GEOA4,35.128889,91.449722,LMRFC,0.400000,0.120000,0.050000,1,1/24/2023
GERT1,35.116389,89.801389,LMRFC,0.140000,0.100000,0.050000,1,1/24/2023
GLFM6,30.393333,89.206389,LMRFC,0.440000,0.050000,0.050000,1,1/24/2023
GLML1,30.995833,92.673611,LMRFC,0.950000,0.520000,0.200000,3,1/24/2023
GLNM7,36.805278,93.461667,LMRFC,0.170000,0.050000,0.050000,1,1/24/2023
GREL1,31.818220,93.084890,LMRFC,0.070000,0.060000,0.050000,1,1/24/2023
GREM6,33.522540,90.180830,LMRFC,0.240000,0.230000,0.080000,1,1/24/2023
HATM6,31.343100,89.280300,LMRFC,0.260000,0.120000,0.060000,1,1/24/2023
HBGM6,31.425800,89.414700,LMRFC,0.210000,0.070000,0.050000,1,1/24/2023
HDYA4,36.313611,91.482778,LMRFC,0.190000,0.070000,0.070000,1,1/24/2023
HEEA4,34.515833,90.584167,LMRFC,0.140000,0.050000,0.050000,1,1/24/2023
HLST1,35.929444,89.389722,LMRFC,0.510000,0.190000,0.050000,2,1/24/2023
HMLT1,35.930063,87.743079,LMRFC,0.190000,0.060000,0.050000,1,1/24/2023
